timestamp_utc,pair,direction,entry_price,exit_price,quantity,pnl_usd,balance_change_usd,balance_after_usd,regime,engine,hold_hours,exit_reason
2026-04-02T01:00:00.000Z,BTCUSDT,long,69069.1,67306.17,0.204915,-369.53,-369.53,113061.24,TREND_UP,trend,18,stop
2026-04-02T02:00:00.000Z,ETHUSDT,long,2150.27,2079.13,6.720815,-486.5,-486.5,112574.74,TREND_UP,trend,19,stop
2026-04-07T11:00:00.000Z,BTCUSDT,long,68997.9,68196.1,0.333136,-280.74,-280.74,112294,TREND_UP,trend,35,exit
2026-04-12T01:00:00.000Z,ETHUSDT,long,2304.38,2254.04,9.424173,-487.15,-487.15,111806.85,TREND_UP,trend,6,stop
2026-04-15T08:00:00.000Z,BTCUSDT,long,74600,73705.2,0.205298,-192.78,-192.78,111614.07,TREND_UP,trend,33,exit
2026-04-19T03:00:00.000Z,ETHUSDT,long,2351.97,2336.92,5.918705,-97.38,-97.38,111516.69,TREND_UP,trend,124,exit
2026-04-23T10:00:00.000Z,BTCUSDT,long,78794.4,77310.01,0.238947,-365.78,-365.78,111150.91,TREND_UP,trend,20,stop
2026-04-27T05:00:00.000Z,BTCUSDT,long,79264.1,77937.6,0.265258,-364.27,-364.27,110786.65,TREND_UP,trend,4,stop
2026-04-27T05:00:00.000Z,ETHUSDT,long,2389.87,2345.81,10.663964,-484.87,-484.87,110301.78,TREND_UP,trend,4,stop
2026-05-01T04:00:00.000Z,ETHUSDT,short,2237.86,2281.6,7.256621,-327.34,-327.34,109974.44,TREND_DOWN,trend,33,exit
2026-05-04T10:00:00.000Z,ETHUSDT,long,2373.81,2320.86,8.755287,-475.77,-475.77,109498.67,TREND_UP,trend,7,stop
2026-05-07T14:00:00.000Z,BTCUSDT,long,78691.3,80457.6,0.279187,479.65,479.65,109978.32,TREND_UP,trend,144,exit
2026-05-11T03:00:00.000Z,BTCUSDT,long,82013.2,80786.62,0.287414,-366.47,-366.47,109611.85,TREND_UP,trend,4,stop
2026-05-14T14:00:00.000Z,BTCUSDT,short,78794.7,80114.28,0.264994,-362.42,-362.42,109249.43,TREND_DOWN,trend,22,stop
2026-05-14T14:00:00.000Z,ETHUSDT,short,2235.39,2286.89,8.930381,-472.17,-472.17,108777.26,TREND_DOWN,trend,22,stop
2026-05-23T14:00:00.000Z,BTCUSDT,short,74573.2,75659.68,0.319259,-361.36,-361.36,108415.89,TREND_DOWN,trend,6,stop
2026-05-23T21:00:00.000Z,ETHUSDT,short,2212.67,2145.6,8.956712,589.2,589.2,109005.09,TREND_DOWN,trend,199,exit
2026-05-23T21:00:00.000Z,PORTFOLIO,mark_to_market,,,,-1715.86,-1715.86,107289.23,,,,open positions marked to market at backtest cutoff
